% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0	0.25	1	1	87	3	0	0	42	6762	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	2	50	3	0	0	58	9338	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	3	96	3	0	0	31	4991	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	4	78	3	0	0	39	6279	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	5	20	3	0	0	54	8694	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	6	91	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	7	29	3	0	0	49	7889	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	8	71	3	0	0	42	6762	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	9	39	3	0	0	45	7245	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	10	63	3	0	0	44	7084	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	11	58	3	0	0	54	8694	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	12	82	3	0	0	44	7084	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	13	94	3	0	0	32	5152	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0	0.25	1	14	1	3	0	0	77	11119	0.00471429	0	0.00471429	0.00471429	144.403	45.9211	19	161	
0	0.25	1	15	12	3	0	0	59	9499	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	1	87	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	2	50	3	0	0	66	10626	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	3	96	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	4	78	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	5	20	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	6	91	3	0	0	66	10626	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	7	29	3	0	0	66	10626	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	8	71	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	9	39	3	0	0	66	10626	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	10	63	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	11	58	3	0	0	66	10626	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	12	82	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	13	94	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	14	1	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.25	0.5	1	15	12	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	1	87	3	0	0	66	10626	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	2	50	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	3	96	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	4	78	3	0	0	66	10626	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	5	20	3	0	0	66	10626	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	6	91	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	7	29	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	8	71	3	0	0	66	10626	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	9	39	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	10	63	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	11	58	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	12	82	3	0	0	66	10626	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	13	94	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	14	1	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.5	0.75	1	15	12	3	0	0	67	10787	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	1	87	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	2	50	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	3	96	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	4	78	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	5	20	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	6	91	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	7	29	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	8	71	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	9	39	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	10	63	3	0	0	39	6279	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	11	58	3	0	0	39	6279	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	12	82	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	13	94	3	0	0	40	6440	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	14	1	3	0	0	39	6279	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
0.75	1	1	15	12	3	0	0	39	6279	0.00471429	0	0.00471429	0.00471429	161	0	161	161	
